Ag1paq_Cu2paq_Fe2paq-HClaq,AgCl_Cu2paq_Fe2paq
AgCl_Cu2paq_Fe2paq-Filter,Filter_AgCl_Cu2paq_Fe2paq
Filter_AgCl_Cu2paq_Fe2paq-H2S,CuS_Fe2paq
CuS_Fe2paq-Filter,Filter_CuS_Fe2paq
Ag1paq_Cu2paq_Fe2paq-H2S,Ag2S_CuS_Fe2paq
Ag2S_CuS_Fe2paq-Filter,Filter_Ag2S_CuS_Fe2paq
Filter_Ag2S_CuS_Fe2paq-HClaq,Fe2paq
Filter_Fe2paq,Filter_Fe2paq
